"�__SITE_NAME","SITE_ID","Average_of_LATITUD","Average_of_LONGITUD","Nodo_HFC"
"Charazani","CHRZ",-15.15903,-69.00199,""
"Charcas","CHA",-17.77861,-63.16853,"SCZ076"
"Chasquipampa","CSP",-16.53793,-68.04598,"LPZ123"
"Chayanta","CYT",-18.46309,-66.48041,""
"Chernobyl","CNB",-17.40653,-66.295,""
"Chihuahua","CHH",-17.218,-62.15425,""
"Chima","HIM",-15.59044,-68.06207,""
"Chimba","CHB",-17.39746,-66.19071,"CBB615"
"Chimboco","CMB",-17.38935,-66.04215,""
"Chimore","CHM",-16.99227,-65.15135,""
"Chiriguano","CRG",-17.78945,-63.20562,""
"Chiripujio","CPJ",-17.97114,-67.14116,""
"Chochis","CCH",-18.14842,-60.02925,""
"Chocloca","CHCL",-21.75319,-64.73924,""
"ChoqueCota","CHCT",-18.09837,-67.89553,""
"Chore y El Palmar","CPAL",-17.37856,-63.98927,""
"Choro Grande","CGR",-16.27353,-67.69124,""
"CHUA COCANI","CHUC",-16.1906,-68.74448,""
"Chulumani","CHU",-16.40893,-67.52802,""
"Chuma","CMA",-15.48069,-68.89898,""
"Chuquiaguillo","CHG",-16.44009,-68.08003,""
"Chuquini","CHQ",-15.59687,-68.08058,""
"Chusumarca","CHS",-16.50356,-68.24616,"EAL141"
"Chusumarca 2","CHS2",-16.49451,-68.25944,""
"Cine 6 de Agosto","C6A",-16.50981,-68.12403,""
"CINE CENTER","CCT",-17.79821,-63.17906,"SCZ083"
"Cine Center CBB","CCB",-17.38058,-66.14891,"CBB102"
"Circunvalacion","CIR",-17.36807,-66.15124,"CBB329"
"Ciudad Ferroviaria","FERR_",-16.45986,-68.15063,"LPZ222"
"Ciudad Real","CRE",-17.77405,-63.19942,"SCZ028"
"Ciudad Satelite","CST",-16.52672,-68.14588,"LPZ578"
"Ckochas","CKO",-19.62227,-65.2675,""
"Clara Chuchio","CCHU",-17.61649,-63.10684,""
"Clinica Alemana","CLN",-16.5131,-68.12061,""
"Cliza","CLI",-17.584,-65.9322,""
"Cliza II","CL2",-17.59324,-65.93497,""
"Club Caza Y Pesca","CCP",-17.61187,-63.12633,""
"Club de Tenis","TNS",-17.78012,-63.20117,"SCZ032"
"Club Hipico","CHP",-17.81352,-63.19603,"SCZ145"
"Club Libertad","CLB",-17.76393,-63.16844,"SCZ060"
"Cobija","COB",-11.02257,-68.75914,""
"COBIJA CENTRO","CBC",-11.0315,-68.76103,""
